u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,length,geometry,bridge,access,tunnel,junction
65281429,4627636293,0,"[514170580, 513703884]",FALSE,"['5', '3']",,Harrison Street,secondary,25 mph,114.977,"LINESTRING (-122.3940468 37.7852059, -122.3938814 37.7853393, -122.393426 37.7857008, -122.3932784 37.7858176, -122.3931245 37.7859393)",,,,
65281916,65325050,0,214545530,FALSE,4,,5th Street,secondary,,65.699,"LINESTRING (-122.401857 37.7790353, -122.4021926 37.7793021, -122.4023838 37.7794545)",,,,
65281916,65281097,0,"[397127920, 143617593, 706547162, 417396806]",FALSE,4,,5th Street,secondary,,192.744,"LINESTRING (-122.401857 37.7790353, -122.4013208 37.7786073, -122.4011382 37.7784618, -122.4011173 37.7784451, -122.4008428 37.7782263, -122.4007609 37.778161, -122.400313 37.7778043)",,,,
65281916,65317717,0,513704346,TRUE,5,,Harrison Street,secondary,25 mph,66.727,"LINESTRING (-122.401857 37.7790353, -122.4021431 37.7788099, -122.4023944 37.7786114)",,,,
65281944,65281916,0,"[417400772, 394443192, 839813778, 8915062, 28824888]",TRUE,"['2', '4']",,,motorway_link,50 mph,636.901,"LINESTRING (-122.3963904 37.7823664, -122.3970857 37.7817103, -122.3972708 37.7815572, -122.3980189 37.7809643, -122.3983574 37.7806927, -122.3999458 37.7794152, -122.4002276 37.7791791, -122.4003524 37.7791106, -122.4004261 37.7790825, -122.4004739 37.7790642, -122.4006204 37.7790286, -122.4007703 37.7790178, -122.401027 37.7790219, -122.401857 37.7790353)",yes,,,
65281944,1260360822,0,510583844,TRUE,3,I 80,James Lick Freeway,motorway,50 mph,681.798,"LINESTRING (-122.3963904 37.7823664, -122.3973558 37.7816224, -122.3979223 37.7812068, -122.3982415 37.7809734, -122.3992227 37.7802102, -122.3997497 37.7798155, -122.4000423 37.7795925, -122.4003269 37.7793739, -122.4019545 37.7780943)",yes,,,
65282185,65303878,0,955907955,FALSE,2,,Alameda Street,residential,,87.098,"LINESTRING (-122.4048807 37.768536, -122.4038927 37.7685958)",,,,
65282185,539993902,0,8916798,FALSE,2,,Alameda Street,residential,,75.084,"LINESTRING (-122.4048807 37.768536, -122.4053147 37.7685143, -122.4057325 37.7684859)",,,,
65282185,65340073,0,955907956,FALSE,,,Vermont Street,residential,,132.239,"LINESTRING (-122.4048807 37.768536, -122.4049509 37.7692622, -122.40498 37.7695631, -122.4049953 37.7697218)",,,,
65282467,65282474,0,8915115,TRUE,3,,,motorway_link,50 mph,117.39,"LINESTRING (-122.4060675 37.7739075, -122.405942 37.774001, -122.4057946 37.7740881, -122.4056521 37.7741614, -122.4054903 37.7742262, -122.4050421 37.7743556, -122.4049008 37.7743967)",,,,
65282467,65282506,0,"[27432609, 513705405]",TRUE,2,,,motorway_link,50 mph,124.683,"LINESTRING (-122.4060675 37.7739075, -122.4059488 37.7740084, -122.4056162 37.7742596, -122.4055347 37.7743295, -122.405478 37.7743995, -122.4054405 37.7744714, -122.4054211 37.7745558, -122.4054184 37.7746414, -122.4054199 37.7746541, -122.4054471 37.7748326)",,,,
65282474,65290249,0,1064362373,TRUE,3,,,motorway_link,50 mph,53.77,"LINESTRING (-122.4049008 37.7743967, -122.4047598 37.774436, -122.4046794 37.7744586, -122.4045965 37.7744879, -122.4045185 37.7745218, -122.4044307 37.7745651, -122.4043547 37.7746083)",,,,
65282474,65282506,0,1081658227,TRUE,3,,7th Street,secondary,25 mph,68.226,"LINESTRING (-122.4049008 37.7743967, -122.4049927 37.7744707, -122.4051878 37.774626, -122.4052517 37.7746767, -122.4054471 37.7748326)",,,,
65282506,65303713,0,"[769473273, 539195910]",TRUE,"['4', '3']",,7th Street,secondary,25 mph,107.552,"LINESTRING (-122.4054471 37.7748326, -122.4056016 37.774953, -122.4059015 37.7751865, -122.4060019 37.7752647, -122.4061884 37.7754204, -122.406308 37.7755198)",,,,
65282559,65281061,0,"[394443188, 394443190]",TRUE,"['4', '5']",I 80,James Lick Freeway,motorway,50 mph,289.27,"LINESTRING (-122.4043362 37.7763807, -122.4041139 37.7765287, -122.4039074 37.7766472, -122.4037967 37.7767063, -122.4016133 37.7778393)",yes,,,
65282779,1260360822,0,"[876616474, 31609103, 8915151]",TRUE,"['1', '2']",,,motorway_link,50 mph,371.837,"LINESTRING (-122.399635 37.7807911, -122.3996261 37.7806618, -122.3996347 37.7805819, -122.3996494 37.7804665, -122.3996806 37.780359, -122.3997261 37.7802492, -122.3997861 37.7801405, -122.3998696 37.7800291, -122.3999746 37.7799033, -122.4000865 37.7797817, -122.4002191 37.7796451, -122.4003697 37.7795007, -122.4005262 37.779359, -122.4009971 37.7789705, -122.4011069 37.7788737, -122.4012909 37.7787169, -122.4019545 37.7780943)",yes,,,
65282779,9680491479,0,107674371,TRUE,1,,4th Street,secondary,,69.368,"LINESTRING (-122.399635 37.7807911, -122.3994669 37.7807254, -122.3990391 37.7803909)",,,,
65282779,65281916,0,143617584,TRUE,5,,Harrison Street,secondary,25 mph,276.155,"LINESTRING (-122.399635 37.7807911, -122.3997709 37.7806835, -122.3999025 37.7805792, -122.4002362 37.7803031, -122.4009091 37.7797817, -122.4011104 37.7796222, -122.4015427 37.7792847, -122.4016688 37.7791838, -122.401857 37.7790353)",,,,
65282779,65335256,0,"[1036843940, 143617591]",TRUE,"['2', '3']",,4th Street,secondary,,65.148,"LINESTRING (-122.399635 37.7807911, -122.399504 37.7806385, -122.3993632 37.7805243, -122.3991456 37.780354)",,,,
65283387,302034179,0,30516714,FALSE,,,Bridgeview Way,residential,,46.882,"LINESTRING (-122.387792 37.7707844, -122.3877976 37.7708387, -122.3877996 37.7708528, -122.387812 37.7709937, -122.3878264 37.7711436, -122.3878274 37.7711552, -122.3878323 37.7712048)",,,,
65283387,54891569,0,145486759,FALSE,,,Bridgeview Way,residential,,206.746,"LINESTRING (-122.387792 37.7707844, -122.3877866 37.7707358, -122.3877859 37.7707207, -122.3877472 37.7703161, -122.387706 37.7698862, -122.3876261 37.7690321, -122.3876242 37.7690143, -122.3876163 37.7689303)",,,,
65283387,54891483,0,"[680949765, 688508127]",TRUE,"['1', '2']",,Mission Bay Boulevard South,tertiary,,115.935,"LINESTRING (-122.387792 37.7707844, -122.3877173 37.7707888, -122.387708 37.7707894, -122.3869967 37.7708321, -122.3866207 37.7708546, -122.3864767 37.7708625)",,,,
65283717,314139502,0,"[27167768, 617730082]",TRUE,2,US 101,,motorway,50 mph,435.627,"LINESTRING (-122.4068915 37.7690186, -122.4070177 37.7691075, -122.4071294 37.7691847, -122.4072716 37.7692796, -122.4074097 37.7693684, -122.4078146 37.7696262, -122.4079366 37.7697017, -122.4080512 37.7697674, -122.4081212 37.7698029, -122.4081927 37.7698338, -122.4082738 37.7698631, -122.4083526 37.7698844, -122.4084341 37.7698995, -122.4085168 37.7699081, -122.4085885 37.7699106, -122.4086591 37.7699086, -122.4087367 37.7699015, -122.4088067 37.7698899, -122.4088787 37.7698727, -122.4089446 37.7698512, -122.4090255 37.7698188, -122.409108 37.7697789, -122.4091874 37.7697356, -122.4092763 37.7696803, -122.4093638 37.7696243, -122.4094499 37.769571, -122.4095461 37.7695179, -122.4096595 37.7694681, -122.4097643 37.7694353, -122.4098664 37.7694157, -122.4099676 37.7694062, -122.4100722 37.769406, -122.4101863 37.7694117, -122.4103991 37.7694301, -122.4105078 37.7694398, -122.410611 37.7694486, -122.4109611 37.7694753, -122.4112914 37.7694998)",yes,,,
65283717,65283737,0,"[515521092, 27093197, 1020770381, 394691476, 8915254]",TRUE,"['1', '2', '4']",,,motorway_link,50 mph,318.912,"LINESTRING (-122.4068915 37.7690186, -122.4073659 37.7694062, -122.4079237 37.7698316, -122.4079904 37.7698746, -122.4080973 37.7699423, -122.4082856 37.7700854, -122.4083368 37.7701255, -122.4083885 37.7701681, -122.4084373 37.7702126, -122.4084819 37.7702569, -122.4085248 37.7703033, -122.4085658 37.770354, -122.4086012 37.7704037, -122.40863 37.7704527, -122.4086524 37.7705024, -122.4086702 37.7705576, -122.408683 37.770614, -122.4086897 37.7706682, -122.4086912 37.7707243, -122.408687 37.7707818, -122.4086777 37.7708361, -122.4086628 37.7708929, -122.4086421 37.7709493, -122.4085701 37.7711037, -122.4085476 37.7711505, -122.4085356 37.7711896, -122.4085326 37.771229, -122.408533 37.771262, -122.408536 37.7713009)",yes,,,
65283737,65317747,0,256787755,TRUE,4,,9th Street,secondary,25 mph,193.402,"LINESTRING (-122.408536 37.7713009, -122.4090815 37.7717367, -122.4100831 37.7725377)",,,,
65283737,2548141872,0,"[417400709, 519082486]",TRUE,5,,Bryant Street,secondary,25 mph,191.685,"LINESTRING (-122.408536 37.7713009, -122.4082716 37.7715106, -122.407855 37.7718397, -122.4078262 37.7718629, -122.4075117 37.7721117, -122.407472 37.7721437, -122.4071986 37.7723594, -122.4071185 37.7724226, -122.4069946 37.7725204)",,,,
65283764,65290263,0,417400709,TRUE,5,,Bryant Street,secondary,25 mph,74.531,"LINESTRING (-122.4097443 37.7703545, -122.4091395 37.7708243)",,,,
65283764,314079692,0,"[394691481, 26944068, 8915261]",TRUE,"['1', '2']",,,motorway_link,50 mph,523.625,"LINESTRING (-122.4097443 37.7703545, -122.4096291 37.7703345, -122.4095069 37.770316, -122.4093941 37.7702995, -122.409294 37.7702822, -122.4091835 37.7702581, -122.4090625 37.770223, -122.40895 37.7701815, -122.4088455 37.7701369, -122.4087449 37.7700867, -122.4086423 37.7700309, -122.4085407 37.7699694, -122.4083261 37.769835, -122.4077586 37.7694722, -122.4076032 37.7693716, -122.4074609 37.7692757, -122.4073253 37.7691803, -122.4070889 37.7690076, -122.4068385 37.7688202, -122.4063533 37.7684621, -122.406227 37.7683687, -122.4060917 37.7682655, -122.4059717 37.7681703, -122.4058873 37.7680971, -122.405822 37.7680341, -122.4057604 37.7679671, -122.4057014 37.7678925, -122.4056465 37.7678119, -122.4056009 37.7677331, -122.4055648 37.7676552, -122.4055346 37.7675731, -122.4055116 37.7674906, -122.4054972 37.7674055, -122.4054914 37.7673212)",yes,,,
65283764,65358372,0,"[706548256, 397138338, 26943711]",TRUE,"['2', '3']",,10th Street,secondary,,177.65,"LINESTRING (-122.4097443 37.7703545, -122.4093688 37.7700546, -122.4091554 37.7698842, -122.4091371 37.7698696, -122.4090105 37.7697685, -122.4087677 37.7695746, -122.4085103 37.769369, -122.4083342 37.7692104)",,,,
65284015,65337852,0,"[395566672, 25337748, 27167749]",TRUE,2,US 101,,motorway_link,50 mph,333.584,"LINESTRING (-122.4157251 37.7696352, -122.4161726 37.7697078, -122.4163963 37.7697454, -122.4166193 37.7697859, -122.4168366 37.7698275, -122.4170584 37.7698711, -122.4172756 37.7699094, -122.4175552 37.7699528, -122.4183862 37.770077, -122.4190181 37.7701709, -122.419444 37.7702305)",yes,,,
65284015,65281218,0,"[28596014, 222603227, 8922462]",TRUE,"['2', '3']",US 101,,motorway,50 mph,757.753,"LINESTRING (-122.4157251 37.7696352, -122.4159608 37.7696491, -122.4161801 37.7696624, -122.4164025 37.7696804, -122.4166321 37.7697016, -122.4168537 37.7697254, -122.4170796 37.7697523, -122.4173033 37.7697821, -122.4175877 37.7698233, -122.4179077 37.7698718, -122.4184179 37.7699496, -122.4187514 37.7699984, -122.4189265 37.7700237, -122.4190911 37.7700467, -122.4192621 37.7700666, -122.4194306 37.7700818, -122.4196003 37.770092, -122.4197698 37.7700998, -122.4203617 37.7701187, -122.4205249 37.7701264, -122.4206949 37.7701386, -122.4208578 37.7701554, -122.4210082 37.7701778, -122.4211625 37.7702084, -122.4213194 37.7702466, -122.4214767 37.770292, -122.4216248 37.770343, -122.4217684 37.7703994, -122.4219062 37.7704607, -122.4220419 37.7705291, -122.4221714 37.7705993, -122.4223007 37.7706812, -122.422418 37.7707643, -122.4225317 37.7708544, -122.4226364 37.770944, -122.4227302 37.7710361, -122.4228246 37.7711361, -122.4229087 37.7712342, -122.4229591 37.7713012, -122.4230056 37.7713666, -122.423052 37.7714388, -122.423261 37.7717664, -122.4232786 37.7717924, -122.4233255 37.7718656)",yes,,,
65284950,6329528602,0,143666207,TRUE,5,,Bryant Street,secondary,25 mph,14.896,"LINESTRING (-122.398144 37.7795221, -122.3980953 37.7795589, -122.3980641 37.7795836, -122.398023 37.7796159)",,,,
65284950,65315477,0,"[396937568, 513706522, 107674372, 396937567]",TRUE,"['1', '2', '4']",,4th Street,secondary,,192.64,"LINESTRING (-122.398144 37.7795221, -122.3980602 37.7794486, -122.3976147 37.7790913, -122.3973724 37.7788924, -122.3971451 37.7787068, -122.3967094 37.778367, -122.396607 37.7782872)",,,,
65284974,65318991,0,44670366,FALSE,,,Laguna Street,residential,,52.244,"LINESTRING (-122.4260983 37.7755395, -122.4261125 37.7756102, -122.4261839 37.775965, -122.4261917 37.7760035)",,,,
65284974,601217544,0,44670366,FALSE,,,Laguna Street,residential,,54.021,"LINESTRING (-122.4260983 37.7755395, -122.4260809 37.7754529, -122.4260018 37.7750597)",,,,
65284974,65292699,0,204965468,TRUE,3,,Fell Street,primary,30 mph,146.149,"LINESTRING (-122.4260983 37.7755395, -122.4261661 37.7755309, -122.4276407 37.7753431, -122.42774 37.7753305)",,,,
65285109,5352470018,0,8922902,TRUE,,,Elm Street,residential,,146.485,"LINESTRING (-122.4221964 37.7812848, -122.4223976 37.7812592, -122.4226201 37.781231, -122.4227183 37.7812185, -122.4229719 37.7811863, -122.4232771 37.7811476, -122.4238421 37.7810758)",,,,
65285109,65350752,0,225806029,TRUE,3,,Franklin Street,secondary,25 mph,53.037,"LINESTRING (-122.4221964 37.7812848, -122.4222753 37.7816749, -122.4222916 37.7817558)",,,,
65285239,65317709,0,"[99231468, 35675861, 35675862]",FALSE,4,,Harrison Street,secondary,25 mph,217.638,"LINESTRING (-122.392077 37.7867713, -122.3919832 37.7868424, -122.3917535 37.7870239, -122.3914072 37.7872979, -122.3909858 37.7876321, -122.390403 37.7880874, -122.390321 37.7881515)",yes,,,
65285239,300759042,0,406582226,FALSE,4,,Harrison Street,secondary,25 mph,103.331,"LINESTRING (-122.392077 37.7867713, -122.3921792 37.7866948, -122.3928594 37.786152, -122.3929059 37.7861123)",,,,
65285239,890045132,0,"[682727088, 8922307, 682743470, 682727087]",FALSE,"['4', '3']",,Fremont Street,secondary,,192.303,"LINESTRING (-122.392077 37.7867713, -122.3921762 37.786844, -122.3922765 37.7869325, -122.3926091 37.7872065, -122.3930932 37.7875913, -122.3935328 37.7879228, -122.393625 37.787993)",,,,
65285622,65324087,0,7373736,FALSE,,,Bluxome Street,residential,,269.332,"LINESTRING (-122.3958308 37.7776713, -122.3958688 37.7776412, -122.3960998 37.7774575, -122.3979976 37.7759585)",,,,
65285622,65334473,0,"[255330069, 681676491, 1064316037]",TRUE,2,,4th Street,secondary,,96.304,"LINESTRING (-122.3958308 37.7776713, -122.3954574 37.777375, -122.3952619 37.7772199, -122.3951784 37.7771536, -122.3951616 37.7771403, -122.3950575 37.7770577)",,,,
