,tci
448,0.7656537617777778
449,1.0
450,0.9225192670185186
451,0.0
452,0.8467039768333333
453,1.0
454,1.0
455,1.0
456,1.0
457,0.0
458,0.5231894309999999
459,1.0
460,1.0
461,0.0
462,1.0
463,1.0
464,0.0
465,0.0
466,1.0
467,1.0
468,1.0
469,0.0
470,0.0
471,0.0
472,0.0
473,1.0
474,1.0
475,0.0
476,1.0
477,1.0
478,0.6309238815
479,0.0
480,0.0
481,1.0
482,1.0
483,1.0
484,1.0
485,0.4989068936666667
486,0.7423539145740742
487,0.8517773194530764
488,1.0
489,1.0
490,0.9907349781437746
491,0.7024495201666667
492,1.0
493,1.0
494,0.8676306877380954
495,0.6470415123333333
496,1.0
497,1.0
498,0.9446814771428572
499,1.0
500,0.6360492458333333
501,1.0
502,0.9458706068888888
503,0.7481863530258037
504,1.0
505,1.0
506,0.8929215946666668
507,1.0
508,1.0
509,0.9691640692401537
510,1.0
511,0.0
512,0.0
513,0.9703643726261998
514,1.0
515,0.0
516,0.7081451142876873
517,1.0
518,0.9606635127408327
519,0.808053375077688
520,0.8107167170370371
521,0.819282392
522,1.0
523,0.0
524,1.0
525,0.0
526,0.8629456570678821
527,0.0
528,1.0
529,0.8618718028451074
530,0.8770081748888889
531,1.0
532,0.9406890523214327
533,0.9792483350597334
534,1.0
535,0.9173726280150344
536,0.0
537,0.0
538,1.0
539,0.0
540,0.8385301369999999
541,0.7363011968333333
542,0.0
543,0.0
544,0.0
545,0.7404164487539683
546,0.8120522686296296
547,0.0
548,0.8859558851388889
549,0.8338076486111111
550,0.8044306494717215
551,0.48965559233333333
552,0.7996009998333333
553,0.6435964715833333
554,0.7044394976790124
555,0.0
556,0.8346705187407407
557,0.427663414
558,0.0
559,0.831716600388889
560,0.5799826092222222
561,0.7316812871666667
562,0.0
563,0.9969737216666666
564,0.8505390208333333
565,0.0
566,0.5503727043333333
567,0.6001436618888889
568,0.9324798098333333
569,0.849823125
570,0.9879980906666667
571,0.6776304175
572,0.0
573,0.0
574,0.3115584659208618
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.9092575393333333
583,0.0
584,0.9458400174603175
585,0.8509965662822548
586,0.0
587,0.0
588,0.0
589,0.0
590,0.0
591,0.0
592,0.872266641
593,0.9402717541851852
594,0.8989583002678572
595,1.0
596,0.872266641
597,0.0
598,0.8613535503333334
599,0.0
600,0.0
601,1.0
602,0.0
603,0.0
604,0.90527234774601
605,0.9605145707708952
606,0.0
607,0.0
608,0.0
609,0.0
610,0.0
611,1.0
612,0.9544292148333333
613,1.0
614,1.0
615,1.0
616,0.0
617,1.0
618,1.0
619,1.0
620,0.0
621,1.0
622,0.9311635701068376
623,1.0
624,1.0
625,1.0
626,0.0
627,0.0
628,0.5214565111666667
629,0.7377502678333333
630,0.6248453097161798
631,0.0
632,0.8990611441269841
633,0.0
634,0.0
635,0.6013184300807956
636,0.5006168050548996
637,0.0
638,0.0
639,0.8589269922407409
640,0.8414398898333333
641,0.0
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.9187222543703704
649,0.7296303241666667
650,0.0
651,0.9664960459999999
652,0.8219664002962963
653,0.8612066761111111
654,0.0
655,0.0
656,0.9113486875
657,0.9317954922222222
658,0.762609691
659,0.0
660,0.0
661,0.8528228099999999
