LINK_ID,geometry
1220010000,"LINESTRING (127.1011301527032 37.48725140505568, 127.10059851724998 37.48709868761154, 127.10006688395644 37.486945967768065, 127.09959179955307 37.48680220795077, 127.09954654782112 37.48678422593116, 127.09925240017134 37.48665833231101, 127.09906003953448 37.48655037281296, 127.09892426147951 37.48647840595046, 127.09861869074463 37.48626241952166, 127.0981999472101 37.485965435699924, 127.09778120699008 37.485668450374405, 127.09735116334414 37.485371472862134, 127.09693242979763 37.48507448448906, 127.09692111146244 37.48506548369366, 127.09653632446087 37.48478648620956, 127.09650239291435 37.48477750384797, 127.09618559876282 37.484615580711484, 127.09601591864569 37.48455264815574, 127.09586886354161 37.48449870708096, 127.09560874263569 37.484444857371386, 127.09547304048891 37.484426946942385, 127.0953486450026 37.48440902723332, 127.09504337832215 37.48441828327569, 127.09490769915172 37.48441839234241, 127.09434240325551 37.48444587532839, 127.09377709567781 37.48446434553722, 127.09321178781602 37.48448281304153, 127.09264647967022 37.48450127784134, 127.09235252996913 37.4845195281387, 127.0920811491246 37.484501719790096, 127.09204722929147 37.48450174622101, 127.09174190672245 37.484465943367326, 127.09152703724668 37.484430069687605, 127.09097292642186 37.4843584169841, 127.09041880579191 37.48427775160558, 127.08985337978248 37.484197092224804, 127.08929926153728 37.48411642159031, 127.08874514447857 37.48403574835439, 127.08819103919699 37.48396408259216, 127.0876256179256 37.483883412539676, 127.08707150437213 37.48380273144684, 127.08651739200538 37.48372204775265, 127.08596328082545 37.48364136145716, 127.08540917083238 37.483560672560365, 127.08484376575541 37.4834889992586, 127.08428965808167 37.48340830510651, 127.08383732965964 37.483345556345945)"
1220008100,"LINESTRING (127.08328322411897 37.48326485746928, 127.08272911976545 37.48318415599143, 127.08217501659917 37.48310345191242, 127.0816096082289 37.48302275304238, 127.0810555074493 37.48294204370807, 127.08050140785714 37.482861331772675, 127.07994731905269 37.482789627314986, 127.07939322176904 37.48270891017771, 127.07882781934035 37.48262819798325, 127.0786242675873 37.48259229326997, 127.07827379023833 37.482610546147164, 127.07817204265412 37.48261962359526, 127.07783291813084 37.48268291808081, 127.07773120773082 37.48272803546684, 127.0774599669968 37.48283633462821, 127.07724526665848 37.48295360629885, 127.07714356480118 37.48300773325679, 127.07688373016994 37.483215134576746, 127.07682724419045 37.48326022174384, 127.07666911991387 37.48342250598079, 127.07651104089278 37.483629840393746, 127.07649975278163 37.48364786787142, 127.07640951192744 37.48385515819784, 127.07635319022376 37.484062426533306, 127.07624057335269 37.484503993333746, 127.07612795516037 37.484945559995225, 127.07604910976676 37.48524294347697, 127.07598140627448 37.485378138261055, 127.07578961934863 37.485801735261134, 127.07559782118156 37.486216321847365)"
1220012500,"LINESTRING (127.04594005460213 37.48651989882487, 127.04642639739484 37.486753970819876, 127.04678832130425 37.48691600949702, 127.04691273758682 37.48697903072344, 127.04739908069536 37.487204088614455, 127.04788543247159 37.487438154570164, 127.04812295017666 37.487546179018786, 127.04837178147173 37.48766320843553, 127.04885813925647 37.487897270364634, 127.04934449414819 37.48812232020412, 127.04983085794147 37.48835637810645, 127.04989872512799 37.488392389774816)"
1220014300,"LINESTRING (127.0503963875368 37.488608420409264, 127.05088275164894 37.48883346388254, 127.05138042598556 37.48905850042593, 127.05156139864849 37.489139512276154, 127.05186678973494 37.48927452975274, 127.05236446994637 37.48949956212968, 127.05285084573397 37.48972459745813, 127.0532241052691 37.48988661125849, 127.0533485254722 37.489940615595295, 127.05383490706832 37.490165646851224, 127.05433259908916 37.49039067089427, 127.05481897996762 37.49060668800562, 127.05531667786326 37.49083170788162, 127.05545241538196 37.49089471476765)"
1220018500,"LINESTRING (127.05593880946883 37.49111973731568, 127.05642520647224 37.49134475785025, 127.05692290724006 37.49156076085392, 127.057409310052 37.49178577731527, 127.05779391130345 37.491965791247324, 127.05789571578046 37.492010791763036, 127.05839343221103 37.49223579860861, 127.05887984380648 37.49246080898243, 127.05936625831846 37.49268581734251, 127.05986398363405 37.49291081795943, 127.06014678196038 37.49303681531163, 127.06035040401301 37.493135822245286, 127.06084813526317 37.49336081869363, 127.06133455414104 37.49357680883915, 127.06182098324506 37.49380180703702, 127.06231872332033 37.494026797256375, 127.06280515829128 37.49425179137954, 127.06328028045442 37.49446777948202)"
1220021300,"LINESTRING (127.06375536705649 37.494638715344124, 127.0637892991597 37.49464770709523, 127.06432091347337 37.494800590005624, 127.06485253774234 37.49496248058098, 127.0653841564484 37.49511535869457, 127.06591577731868 37.49526823440988, 127.06644740035308 37.49542110772684, 127.06697903359829 37.49558298870728, 127.06751066102481 37.49573585722711, 127.06803098228119 37.49588872986111, 127.06856262224987 37.49605060369574, 127.0690942562094 37.4962034650707, 127.06962589233281 37.496356324047056, 127.06991999484578 37.49644625099671)"
1220022800,"LINESTRING (127.07045163436818 37.49659910624736, 127.07098327605443 37.496751959099335, 127.0715149284965 37.49691381961155, 127.0720465745742 37.49706666766572, 127.07257822281564 37.4972195133211, 127.07296282691951 37.497336407234215, 127.07310987322074 37.49737235657766, 127.0736415346372 37.49753420749291, 127.07417318943345 37.49768704595134, 127.07470484639327 37.49783988201081, 127.07523650551663 37.4979927156713, 127.07576817590687 37.49815455698896, 127.07600573111412 37.49822648488475, 127.07628853072426 37.498307393154434, 127.07682019637895 37.498460219668296, 127.07735186419703 37.49861304378301, 127.07788354353625 37.49877487555333, 127.07841521574487 37.49892769486927, 127.07894689011677 37.49908051178597, 127.07947856665187 37.49923332630334, 127.0800102549637 37.49939514847477, 127.08006681850365 37.49941313027119)"
1220023500,"LINESTRING (127.08054161653473 37.49925062643579, 127.08107294683036 37.49907907184478, 127.08126513804686 37.49902487942922, 127.08160428449608 37.49891652491563, 127.08212431109197 37.49875398345706, 127.08250868014177 37.49863658483599, 127.08265564416782 37.49859143179562, 127.08317566622304 37.49842888570541, 127.08370699470886 37.49826632931182, 127.08415918046286 37.49812184705614)"
1220022000,"LINESTRING (127.08467918581806 37.4979502842879, 127.08519918879033 37.49777871922862, 127.08573049796817 37.49760714367229, 127.08625049614838 37.49743557398133, 127.08677049194554 37.49726400199947, 127.08729048535962 37.497092427726756, 127.08781046584078 37.49691184110786, 127.08834176288333 37.49674025379753, 127.08851132593539 37.49668606649653, 127.08886174905956 37.496568672602606, 127.08938173285263 37.49639708911698, 127.08990170346168 37.49621649328481, 127.09042168242588 37.4960449052178, 127.09088513921657 37.49589137848465)"
1220020200,"LINESTRING (127.09138250804313 37.495728813638564, 127.09190246918598 37.495548208992126, 127.09243374717418 37.495376603264255, 127.09295371450276 37.49520500404355, 127.09347367944792 37.49503340253248, 127.09399364200964 37.4948617987311, 127.09451360218789 37.494690192639446, 127.09496573407965 37.494536658931644, 127.09503353714939 37.494500564143124, 127.09530473732607 37.49434717454117, 127.09548552918002 37.49423890775427, 127.09567762857301 37.4941306315319, 127.09592617544617 37.4939502286378, 127.09593747195518 37.49394120939757, 127.09612953528857 37.49380590226282, 127.09631023208888 37.493625553741744, 127.09634410974881 37.493589485848226, 127.0965586249745 37.4933280187447, 127.09661506021928 37.49324688199181, 127.0967843070902 37.492958421270224, 127.09686331101422 37.492841225627636, 127.0971115824584 37.49245358883731)"
